iter	Passed	Remaining
354	594996	1081050
355	596592	1079229
356	597999	1077069
357	599410	1074921
358	601007	1073108
359	602360	1070863
360	603967	1069073
361	605071	1066396
362	606662	1064584
363	608193	1062667
364	609638	1060604
365	610984	1058372
366	612400	1056266
367	614099	1054648
368	615371	1052301
369	617266	1051020
370	618863	1049232
371	620221	1047040
372	621593	1044877
373	622904	1042614
374	624338	1040564
375	625796	1038556
376	627276	1036586
377	628792	1034680
378	630188	1032578
379	631708	1030682
380	633235	1028800
381	634640	1026721
382	635708	1024105
383	637271	1022289
384	639402	1021383
385	640769	1019255
386	642372	1017505
387	643718	1015349
388	645731	1014246
389	647443	1012667
390	648963	1010789
391	650312	1008647
392	651767	1006673
393	653244	1004736
394	654590	1002600
395	655928	1000456
396	656899	997759
397	658412	995890
398	659963	994080
399	661301	991952
400	662759	990007
401	664154	987971
402	665627	986052
403	667041	984051
404	668769	982513
405	670994	981701
406	672508	979846
407	674167	978203
408	675771	976481
409	677281	974625
410	678700	972638
411	680378	971026
412	682095	969466
413	683657	967688
414	685283	966002
415	686674	963985
416	687647	961386
417	689052	959398
418	689954	956714
419	691387	954773
420	693007	953090
421	694815	951666
422	696197	949659
423	697620	947710
424	699252	946047
425	700680	944109
426	702457	942642
427	703992	940849
428	705340	938810
429	706955	937126
430	708248	935019
431	709582	932969
432	711164	931247
433	712742	929521
434	714115	927529
435	715234	925211
436	716670	923307
437	717948	921202
438	720559	920806
439	722006	918917
440	723992	917713
441	725772	916246
442	726977	914054
443	728758	912589
444	730389	910935
445	731700	908883
446	733908	907944
447	736151	907043
448	737611	905176
449	738887	903084
450	740228	901076
451	741938	899518
452	743824	898171
453	745867	897012
454	747214	895015
455	749284	893882
456	751168	892525
457	752824	890897
458	754554	889354
459	755878	887335
460	757272	885400
461	759026	883888
462	760494	882041
463	762033	880279
464	763784	878762
465	765828	877580
466	767516	875987
467	768667	873784
468	770815	872714
469	772137	870707
470	773562	868820
471	775079	867038
472	776262	864884
473	777858	863193
474	779011	861012
475	780113	858780
476	781141	856471
477	782584	854621
478	784147	852903
479	785326	850770
480	786536	848674
481	788089	846951
482	789427	844997
483	790903	843194
484	792260	841265
485	793898	839637
486	795432	837899
487	796777	835963
488	798430	834352
489	799739	832381
490	801493	830875
491	802991	829105
492	804714	827566
493	806579	826172
494	808120	824446
495	809925	822989
496	811615	821413
497	813564	820098
498	815130	818397
499	817075	817075
500	818472	815205
501	819944	813410
502	821384	811586
503	822851	809790
504	824676	808346
505	825968	806380
506	827285	804441
507	828593	802495
508	829833	800488
509	831272	798673
510	833556	797669
511	834881	795746
512	836260	793877
513	837649	792018
514	839326	790434
515	840636	788503
516	841974	786602
517	843789	785147
518	845638	783722
519	847558	782361
520	849156	780702
521	851347	779586
522	853095	778062
523	855063	776737
524	856465	774897
525	857748	772951
526	859304	771254
527	861119	769788
528	862814	768214
529	864140	766313
530	865570	764505
531	867530	763165
532	869388	761734
533	871567	760581
534	872850	758645
535	875113	757560
536	877341	756441
537	879211	755010
538	881347	753805
539	883245	752394
540	884968	750832
541	886895	749443
542	888504	747784
543	890016	746043
544	891764	744500
545	893253	742742
546	894632	740893
547	896094	739114
548	897604	737376
549	899276	735771
550	900661	733932
551	902191	732213
552	903673	730455
553	905033	728600
554	906538	726864
555	908316	725346
556	909845	723629
557	911251	721815
558	912582	719944
559	913897	718062
560	915264	716223
561	916688	714429
562	917722	712335
563	919098	710508
564	920348	708586
565	921644	706702
566	923003	704868
567	924168	702888
568	925535	701064
569	927357	699585
570	928516	697607
571	929831	695748
572	931146	693891
573	932791	692280
574	934228	690516
575	935335	688511
576	936895	686840
577	938246	685017
578	939501	683126
579	940928	681362
580	942708	679853
581	944346	678242
582	945864	676544
583	947090	674640
584	948425	672814
585	949647	670911
586	950847	668994
587	952639	667495
588	953669	665463
589	955066	663690
590	956357	661844
591	958411	660527
592	959801	658750
593	961123	656929
594	962763	655326
595	964414	653730
596	965878	652008
597	967861	650635
598	969330	648917
599	971240	647493
600	972484	645625
601	973731	643762
602	975248	642079
603	976621	640301
604	978358	638762
605	979832	637052
606	981350	635372
607	982712	633590
608	984146	631857
609	986050	630425
610	987338	628599
611	988780	626874
612	990137	625094
613	991297	623193
614	992767	621488
615	994207	619765
616	995683	618066
617	997149	616361
618	998757	614743
619	1000037	612926
620	1001116	610987
