Dia e Hora,Modelo,Score (MCC)
2024-08-06 11:29:00,HistGBC,0.9782481776568968
2024-08-06 12:39:00,CatBoostClassifier,0.87983
2024-08-06 13:25:00,CatBoostClassifier,0.97246
2024-08-06 14:26:00,XGB Classifier,0.84702
